"planning_unit","number"
1792,0
1771,0
1770,1
1748,10
1747,0
1729,3
1727,2
1726,10
1725,0
1707,1
1706,0
1705,0
1704,10
1703,10
1702,10
1701,1
1700,0
1685,4
1684,1
1683,2
1682,10
1681,10
1680,10
1679,2
1678,0
1663,6
1662,7
1661,9
1660,10
1659,10
1658,10
1657,10
1656,10
1641,2
1640,5
1639,3
1638,10
1637,10
1636,10
1635,10
1634,1
1623,2
1619,9
1618,0
1617,5
1616,10
1615,10
1614,10
1613,10
1612,10
1611,0
1601,10
1600,0
1598,0
1597,1
1596,0
1595,0
1594,10
1593,10
1592,10
1591,10
1590,10
1579,4
1578,7
1577,2
1575,0
1574,5
1573,6
1572,10
1571,10
1570,10
1569,10
1568,10
1567,0
1557,0
1556,4
1554,5
1553,0
1552,6
1551,6
1550,10
1549,10
1548,10
1547,10
1546,10
1545,1
1535,0
1534,4
1533,1
1531,7
1530,3
1529,8
1528,10
1527,10
1526,10
1525,10
1524,10
1523,10
1513,0
1512,8
1510,4
1509,4
1508,6
1507,0
1506,0
1505,10
1504,10
1503,10
1502,10
1501,6
1491,3
1490,2
1489,2
1488,2
1487,5
1486,8
1485,2
1484,2
1483,10
1482,10
1481,10
1480,10
1479,10
1469,6
1468,6
1467,0
1466,0
1465,8
1464,4
1463,1
1462,0
1461,10
1460,10
1459,10
1458,10
1457,10
1447,1
1446,2
1445,0
1444,3
1443,5
1442,2
1441,0
1440,1
1439,10
1438,10
1437,10
1436,10
1435,10
1434,1
1425,6
1424,5
1423,1
1422,8
1421,10
1420,4
1419,5
1418,10
1417,10
1416,10
1415,10
1414,10
1413,10
1403,1
1402,3
1401,0
1400,10
1399,10
1398,10
1397,6
1396,6
1395,10
1394,10
1393,10
1392,10
1391,10
1390,10
1381,6
1380,6
1379,8
1378,10
1377,10
1376,10
1375,6
1374,10
1373,10
1372,10
1371,10
1370,10
1369,10
1368,3
1360,0
1359,0
1358,8
1357,8
1356,4
1355,8
1354,10
1353,9
1352,6
1351,10
1350,10
1349,10
1348,10
1347,10
1346,10
1345,1
1338,1
1337,2
1336,6
1335,2
1334,6
1333,7
1332,7
1331,7
1330,10
1329,10
1328,10
1327,10
1326,10
1325,10
1324,5
1316,0
1315,4
1314,4
1313,7
1312,6
1311,3
1310,10
1309,6
1308,10
1307,0
1306,10
1305,10
1304,10
1303,10
1302,10
1301,0
1294,1
1293,10
1292,0
1291,0
1290,3
1289,0
1288,0
1287,0
1286,1
1285,10
1284,0
1283,10
1282,10
1281,10
1280,0
1279,0
1272,1
1271,6
1270,7
1269,8
1268,6
1267,4
1266,8
1265,3
1264,9
1263,10
1262,0
1261,0
1260,10
1259,10
1258,0
1257,1
1250,1
1249,5
1248,8
1247,5
1246,9
1245,4
1244,4
1243,4
1242,10
1241,10
1240,0
1239,10
1238,10
1237,10
1236,0
1235,0
1227,4
1226,7
1225,7
1224,8
1223,4
1222,4
1221,3
1220,8
1219,10
1218,10
1217,10
1216,10
1215,10
1214,0
1213,6
1206,7
1205,6
1204,3
1203,9
1202,8
1201,2
1200,3
1199,2
1198,10
1197,10
1196,10
1195,10
1194,10
1193,10
1192,1
1191,4
1183,5
1182,6
1181,8
1180,10
1179,4
1178,4
1177,4
1176,9
1175,2
1174,10
1173,10
1172,10
1171,10
1170,0
1169,0
1164,2
1162,5
1161,1
1160,7
1159,6
1158,9
1157,4
1156,1
1155,2
1154,9
1153,10
1152,10
1151,10
1150,10
1149,10
1148,10
1147,2
1141,0
1140,2
1139,4
1138,6
1137,4
1136,7
1135,2
1134,2
1133,1
1132,7
1131,2
1130,10
1129,10
1128,10
1127,10
1126,10
1125,2
1124,0
1120,4
1118,6
1117,5
1116,4
1115,9
1114,4
1113,2
1112,0
1111,7
1110,7
1109,10
1108,10
1107,10
1106,10
1105,10
1104,10
1103,2
1097,0
1096,0
1095,10
1094,1
1093,0
1092,2
1091,0
1090,0
1089,1
1088,0
1087,10
1086,10
1085,10
1084,10
1083,10
1082,10
1081,0
1080,1
1076,10
1074,10
1073,2
1072,3
1071,2
1070,0
1069,4
1068,3
1067,4
1066,4
1065,10
1064,10
1063,10
1062,10
1061,10
1060,10
1059,2
1053,0
1052,1
1051,10
1050,7
1049,8
1048,0
1047,5
1046,6
1045,9
1044,3
1043,0
1042,10
1041,10
1040,10
1039,10
1038,10
1037,3
1036,6
1032,10
1031,0
1030,10
1029,0
1028,8
1027,2
1026,9
1025,2
1024,7
1023,4
1022,3
1021,0
1020,10
1019,10
1018,10
1017,10
1016,2
1015,1
1009,3
1008,5
1007,1
1006,4
1005,6
1004,10
1003,7
1002,9
1001,1
1000,6
999,1
998,0
997,10
996,10
995,10
994,10
993,2
992,3
988,10
987,5
986,10
985,6
984,8
983,4
982,9
981,3
980,5
979,3
978,2
977,0
976,10
975,10
974,10
973,10
972,10
971,0
965,2
964,4
963,5
962,7
961,8
960,9
959,3
958,5
957,0
956,0
955,0
954,0
953,10
952,10
951,10
950,0
949,0
948,2
944,10
943,0
942,10
941,2
940,2
939,4
938,5
937,0
936,0
935,0
934,0
933,0
932,10
931,10
930,10
929,10
928,0
927,1
922,7
921,8
920,10
919,9
918,10
917,6
916,7
915,8
914,1
913,0
912,0
911,0
910,10
909,10
908,10
907,10
906,0
905,2
904,0
900,9
899,10
898,9
897,8
896,8
895,8
894,9
893,9
892,0
891,0
890,0
889,0
888,10
887,10
886,10
885,1
884,2
883,5
877,10
876,9
875,8
874,9
873,9
872,7
871,9
870,5
869,0
868,0
867,2
866,10
865,10
864,10
863,0
862,0
861,5
856,10
855,5
854,9
853,5
852,6
851,4
850,9
849,9
848,0
847,0
846,0
845,0
844,10
843,10
842,10
841,0
840,0
839,2
834,1
833,10
832,7
831,4
830,8
829,5
828,6
827,5
826,6
825,0
824,0
823,1
822,10
821,10
820,10
819,10
818,0
817,0
812,10
811,7
810,8
809,5
808,5
807,4
806,4
805,3
804,0
803,0
802,1
801,10
800,10
799,10
798,10
797,0
796,0
795,0
790,0
789,0
788,1
787,1
786,0
785,3
784,0
783,0
782,0
781,0
780,0
779,10
778,10
777,10
776,10
775,10
774,0
773,0
772,0
768,8
767,7
766,5
765,3
764,5
763,6
762,5
761,2
760,0
759,0
758,0
757,10
756,10
755,10
754,10
753,4
752,0
751,1
746,2
745,1
744,5
743,0
742,3
741,3
740,7
739,2
738,5
737,1
736,1
735,0
734,2
733,10
732,10
731,10
730,0
729,0
728,1
724,8
723,3
722,5
721,10
720,4
719,3
718,8
717,1
716,0
715,4
714,0
713,10
712,10
711,10
710,0
709,1
708,4
707,0
706,2
702,2
701,9
700,5
699,10
698,10
697,7
696,4
695,4
694,5
693,0
692,2
691,1
690,3
689,10
688,10
687,1
686,2
685,0
684,0
683,0
680,4
679,2
678,2
677,10
676,7
675,4
674,6
673,2
672,2
671,6
670,5
669,0
668,10
667,10
666,1
665,2
664,0
663,0
662,3
658,0
657,8
656,6
655,3
654,10
653,9
652,5
651,4
650,4
649,4
648,3
647,2
646,5
645,10
644,10
643,2
642,10
641,0
640,0
639,2
636,1
635,1
634,0
633,0
632,1
631,0
630,2
629,0
628,1
627,2
626,0
625,0
624,10
623,10
622,0
621,10
620,0
619,0
618,0
617,1
614,3
613,7
612,3
611,0
610,0
609,3
608,3
607,4
606,4
605,7
604,6
603,5
602,8
601,8
600,2
599,1
598,0
597,0
596,1
595,9
593,1
592,6
591,1
590,10
589,0
588,0
587,4
586,7
585,4
584,5
583,4
582,7
581,7
580,8
579,2
578,7
577,0
576,0
575,0
574,4
573,1
570,10
569,4
568,10
567,2
566,1
565,1
564,5
563,6
562,6
561,10
560,6
559,7
558,8
557,9
556,5
555,4
554,0
553,0
552,2
551,6
549,4
548,9
547,0
546,10
545,1
544,0
543,5
542,5
541,6
540,9
539,2
538,8
537,3
536,9
535,4
534,8
533,2
532,0
531,1
530,4
529,1
526,10
525,10
524,6
523,7
522,10
521,9
520,7
519,2
518,5
517,10
516,5
515,3
514,8
513,5
512,6
511,3
510,1
509,2
508,0
507,0
505,8
504,8
503,10
502,9
501,6
500,8
499,4
498,6
497,3
496,6
495,5
494,7
493,2
492,9
491,1
490,4
489,4
488,0
487,0
486,0
485,0
482,1
481,5
480,3
479,0
478,0
477,0
476,0
475,1
474,2
473,0
472,0
471,0
470,1
469,0
468,0
467,0
466,10
465,0
464,0
463,0
462,0
461,0
460,10
459,9
458,7
457,6
456,6
455,7
454,2
453,3
452,9
451,7
450,5
449,3
448,5
447,7
446,3
445,3
444,10
443,2
442,0
441,0
438,10
437,4
436,7
435,3
434,6
433,3
432,6
431,4
430,6
429,6
428,2
427,2
426,6
425,5
424,5
423,10
422,10
421,1
420,0
419,0
418,1
417,10
416,6
415,6
414,8
413,3
412,9
411,4
410,7
409,5
408,7
407,3
406,1
405,3
404,10
403,3
402,5
401,10
400,2
399,0
398,0
397,0
394,10
393,7
392,8
391,6
390,6
389,6
388,6
387,5
386,7
385,10
384,4
383,4
382,3
381,5
380,7
379,6
378,0
377,0
376,0
375,1
374,2
373,10
372,6
371,5
370,8
369,0
368,0
367,3
366,7
365,3
364,2
363,0
360,7
359,2
358,4
357,10
356,0
355,0
354,10
353,0
352,0
350,10
349,5
348,4
347,5
346,1
345,3
344,3
343,2
342,2
338,3
337,6
336,3
335,6
334,4
333,0
332,0
331,1
330,1
329,2
328,3
327,1
326,1
325,6
323,0
322,4
316,0
315,0
314,7
313,3
312,0
311,0
310,10
309,0
308,0
306,0
305,3
303,3
293,1
292,3
291,8
290,5
289,4
288,6
287,1
286,2
284,0
283,3
281,0
270,1
269,1
268,0
267,0
266,0
265,0
264,0
261,10
259,0
248,0
247,5
246,2
245,3
244,5
243,4
242,3
239,2
226,6
225,2
224,2
223,2
222,2
221,0
220,1
203,7
202,7
201,4
200,6
199,7
198,3
181,7
180,5
179,4
178,4
177,1
176,3
158,1
157,3
156,7
155,4
154,0
136,2
135,1
134,4
133,5
112,3
111,0
110,0
92,1
91,0
90,7
89,6
68,2
67,1
66,6
46,6
45,1
24,3
22,1
2,0
