"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5525000199.348082,0,118,0,0,yes,1.000000
24,,28046978107.899818,28048164156.053436,0,531,0,0,yes,1.000000
23,,2348993483.112576,2376748498.454600,0,54,0,0,yes,1.000000
22,,16921536531.488951,17129812145.223507,0,359,0,0,yes,1.000000
21,,2211255901.335674,2372690009.695300,0,53,0,0,yes,1.000000
20,,4060630482.754071,4136176070.469180,0,152,0,0,yes,1.000000
19,,3572276779.011707,3794809259.175281,0,105,0,0,yes,1.000000
18,,29962095.938975,36973459.422360,0,7,0,0,yes,1.000000
17,,191115344.410160,210981402.459960,0,7,0,0,yes,1.000000
16,,26801703402.514065,27724494595.909939,0,508,0,0,yes,1.000000
15,,2378703547.671384,2611089445.948699,0,110,0,0,yes,1.000000
14,,589388305.364250,901274185.917970,0,62,0,0,yes,1.000000
13,,531788900.982630,789826388.300240,0,95,0,0,yes,1.000000
12,,541919697.265620,668072698.028800,0,70,0,0,yes,1.000000
11,,1015495584.187755,1017188991.832980,0,170,0,0,yes,1.000000
10,,551661937.579320,560473916.595650,0,83,0,0,yes,1.000000
9,,1191423147.546900,1232744861.741700,0,66,0,0,yes,1.000000
8,,1289643311.160406,1662584664.222671,0,172,0,0,yes,1.000000
7,,2171242637.422111,2281199733.699250,0,172,0,0,yes,1.000000
6,,2343689936.523930,3225256341.921377,0,164,0,0,yes,1.000000
5,,1507276552.211417,1522176054.984869,0,82,0,0,yes,1.000000
4,,537709988.218270,706167356.191409,0,65,0,0,yes,1.000000
3,,1382677638.744610,1434890883.714820,0,73,0,0,yes,1.000000
2,,961616721.645475,1350358747.518550,0,109,0,0,yes,1.000000
1,,590592147.143080,609655979.695330,0,42,0,0,yes,1.000000
