"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5665164881.060980,0,123,0,0,yes,1.000000
24,,28046978107.899818,28047105229.612572,0,529,0,0,yes,1.000000
23,,2348993483.112576,2352077438.430680,0,55,0,0,yes,1.000000
22,,16921536531.488951,16976999190.816717,0,359,0,0,yes,1.000000
21,,2211255901.335674,2502697177.332990,0,60,0,0,yes,1.000000
20,,4060630482.754071,4162421564.769459,0,150,0,0,yes,1.000000
19,,3572276779.011707,3633696694.328089,0,105,0,0,yes,1.000000
18,,29962095.938975,38626504.737800,0,8,0,0,yes,1.000000
17,,191115344.410160,289754064.567870,0,10,0,0,yes,1.000000
16,,26801703402.514065,27405637922.072079,0,501,0,0,yes,1.000000
15,,2378703547.671384,2953044884.965798,0,122,0,0,yes,1.000000
14,,589388305.364250,889339282.129870,0,52,0,0,yes,1.000000
13,,531788900.982630,625559384.795850,0,84,0,0,yes,1.000000
12,,541919697.265620,729802353.519030,0,73,0,0,yes,1.000000
11,,1015495584.187755,1050011849.433080,0,173,0,0,yes,1.000000
10,,551661937.579320,561932310.852010,0,84,0,0,yes,1.000000
9,,1191423147.546900,1194869667.459030,0,69,0,0,yes,1.000000
8,,1289643311.160406,1655782853.146981,0,175,0,0,yes,1.000000
7,,2171242637.422111,2216314368.826190,0,174,0,0,yes,1.000000
6,,2343689936.523930,3240701505.652818,0,167,0,0,yes,1.000000
5,,1507276552.211417,1525087012.700679,0,83,0,0,yes,1.000000
4,,537709988.218270,579206403.247580,0,57,0,0,yes,1.000000
3,,1382677638.744610,1556207632.527320,0,72,0,0,yes,1.000000
2,,961616721.645475,1497989876.574700,0,121,0,0,yes,1.000000
1,,590592147.143080,692640277.618660,0,48,0,0,yes,1.000000
