PUID,SOLUTION
2,1
22,0
24,0
45,0
46,1
66,1
67,1
68,0
89,0
90,0
91,0
92,0
110,0
111,0
112,0
133,1
134,0
135,0
136,0
154,0
155,0
156,1
157,0
158,0
176,0
177,0
178,1
179,1
180,0
181,0
198,0
199,1
200,0
201,1
202,0
203,1
220,0
221,0
222,0
223,0
224,0
225,1
226,1
239,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
259,0
261,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
281,0
283,0
284,0
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,1
303,0
305,0
306,0
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,0
322,0
323,0
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,1
336,0
337,0
338,0
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,1
394,1
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,1
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,1
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,1
529,0
530,0
531,0
532,0
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,1
549,0
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,1
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,0
582,0
583,0
584,1
585,0
586,1
587,1
588,0
589,0
590,1
591,0
592,0
593,0
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,0
612,1
613,1
614,1
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
639,0
640,0
641,0
642,1
643,0
644,1
645,1
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,0
657,1
658,0
662,0
663,0
664,0
665,0
666,0
667,1
668,1
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,1
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,1
718,0
719,0
720,1
721,1
722,1
723,0
724,1
728,0
729,1
730,0
731,1
732,1
733,1
734,1
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,0
751,0
752,0
753,0
754,1
755,1
756,1
757,1
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,0
768,1
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,0
809,0
810,1
811,0
812,1
817,0
818,0
819,1
820,1
821,1
822,1
823,1
824,0
825,0
826,1
827,1
828,0
829,1
830,1
831,0
832,1
833,1
834,0
839,0
840,0
841,0
842,1
843,1
844,1
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,1
861,0
862,0
863,1
864,1
865,1
866,1
867,0
868,0
869,0
870,0
871,1
872,1
873,1
874,1
875,1
876,1
877,1
883,0
884,0
885,0
886,1
887,1
888,1
889,0
890,0
891,0
892,0
893,1
894,0
895,1
896,1
897,1
898,1
899,1
900,0
904,0
905,0
906,0
907,1
908,1
909,1
910,1
911,0
912,0
913,0
914,0
915,1
916,1
917,1
918,1
919,1
920,1
921,0
922,0
927,0
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,1
943,0
944,1
948,1
949,0
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,0
963,1
964,1
965,0
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,0
980,1
981,0
982,1
983,1
984,0
985,0
986,1
987,0
988,1
992,0
993,0
994,1
995,1
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,0
1007,0
1008,0
1009,0
1015,0
1016,1
1017,1
1018,1
1019,1
1020,1
1021,0
1022,0
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
