planning_unit,number
1792,1
1771,2
1770,1
1748,100
1747,0
1729,0
1727,0
1726,100
1725,0
1707,0
1706,0
1705,0
1704,100
1703,100
1702,100
1701,12
1700,0
1685,0
1684,0
1683,12
1682,100
1681,100
1680,100
1679,10
1678,2
1663,0
1662,0
1661,1
1660,100
1659,100
1658,100
1657,100
1656,100
1641,0
1640,0
1639,14
1638,100
1637,100
1636,100
1635,100
1634,35
1623,0
1619,0
1618,0
1617,1
1616,100
1615,100
1614,100
1613,100
1612,100
1611,0
1601,100
1600,0
1598,0
1597,0
1596,0
1595,4
1594,100
1593,100
1592,100
1591,100
1590,100
1579,0
1578,0
1577,0
1575,0
1574,0
1573,0
1572,100
1571,100
1570,100
1569,100
1568,100
1567,1
1557,0
1556,0
1554,0
1553,0
1552,0
1551,12
1550,100
1549,100
1548,100
1547,100
1546,100
1545,0
1535,0
1534,0
1533,0
1531,0
1530,0
1529,0
1528,100
1527,100
1526,100
1525,100
1524,100
1523,100
1513,0
1512,0
1510,1
1509,2
1508,0
1507,4
1506,1
1505,100
1504,100
1503,100
1502,100
1501,85
1491,0
1490,0
1489,0
1488,0
1487,0
1486,8
1485,3
1484,16
1483,100
1482,100
1481,100
1480,100
1479,100
1469,1
1468,0
1467,0
1466,0
1465,21
1464,13
1463,11
1462,7
1461,100
1460,100
1459,100
1458,100
1457,100
1447,2
1446,0
1445,0
1444,0
1443,10
1442,24
1441,9
1440,14
1439,100
1438,100
1437,100
1436,100
1435,100
1434,4
1425,0
1424,0
1423,0
1422,0
1421,100
1420,55
1419,48
1418,100
1417,100
1416,100
1415,100
1414,100
1413,100
1403,0
1402,2
1401,0
1400,4
1399,100
1398,100
1397,60
1396,81
1395,100
1394,100
1393,100
1392,100
1391,100
1390,100
1381,0
1380,20
1379,0
1378,9
1377,100
1376,100
1375,72
1374,100
1373,100
1372,100
1371,100
1370,100
1369,100
1368,29
1360,0
1359,10
1358,44
1357,7
1356,8
1355,86
1354,100
1353,92
1352,81
1351,100
1350,100
1349,100
1348,100
1347,100
1346,100
1345,3
1338,0
1337,53
1336,39
1335,7
1334,60
1333,90
1332,98
1331,79
1330,100
1329,100
1328,100
1327,100
1326,100
1325,100
1324,61
1316,0
1315,42
1314,72
1313,34
